"","occurrence_no","phylum","class","order","family","genus","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","diet","diet_basis","ref_author","ref_pubyr"
"1",14625,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Elder 1981",1981
"2",14644,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"3",14676,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"4",14708,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Palmer and Brann 1965",1965
"5",14723,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"6",14758,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"7",14810,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"8",14864,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Elder 1981",1981
"9",14880,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"10",14956,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"11",14979,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"12",14980,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"13",14981,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"14",14994,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"15",14995,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"16",15030,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"17",15031,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"18",15032,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"19",15037,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"20",15038,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"21",15051,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"22",15063,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"23",15089,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"24",15093,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"25",15122,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"26",15123,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"27",15143,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Antillocaprina","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"28",15153,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Titanosarcolites","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"29",15154,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"30",15169,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"31",15170,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"32",15173,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"33",15177,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"34",15178,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"35",15210,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"36",15219,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"37",15240,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"38",15241,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"39",15252,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"40",15267,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"41",15268,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"42",15292,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"43",15293,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"44",15311,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"45",15335,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"46",15341,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"47",15356,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"48",15394,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"49",15403,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
