"","occurrence_no","genus","ref_author","ref_pubyr"
"1",14625,"Teinostoma","Elder 1981",1981
"2",14644,"Cadulus","Elder 1981",1981
"11",14979,"Ambigostrea","Jablonski and Raup 1999",1999
"12",14980,"Pterotrigonia (Scabrotrigonia)","Jablonski and Raup 1999",1999
"14",14994,"Veniella","Jablonski and Raup 1999",1999
"15",14995,"Tenea","Jablonski and Raup 1999",1999
"16",15030,"Agerostrea","Jablonski and Raup 1999",1999
"27",15143,"Antillocaprina","Jablonski and Raup 1999",1999
"28",15153,"Titanosarcolites","Jablonski and Raup 1999",1999
"44",15311,"Etea","Jablonski and Raup 1999",1999
"50",15423,"Tennessiella","Jablonski and Raup 1999",1999
"66",15585,"Ascaulocardium","Jablonski and Raup 1999",1999
"78",15655,"Gyropleura","Jablonski and Raup 1999",1999
"147",16341,"Gabbigonia","Jablonski and Raup 1999",1999
"151",16370,"Caprotina","Jablonski and Raup 1999",1999
"155",16421,"Neiloides","Jablonski and Raup 1999",1999
"156",16435,"Protagelus","Jablonski and Raup 1999",1999
"157",16445,"Matsudagonia","Jablonski and Raup 1999",1999
"158",16450,"Cnestriella","Jablonski and Raup 1999",1999
"159",16461,"Izumia","Jablonski and Raup 1999",1999
"160",16466,"Mesochione","Jablonski and Raup 1999",1999
"162",16480,"Yaadia","Jablonski and Raup 1999",1999
"163",16502,"Laevitrigonia (Eselaevitrigonia)","Jablonski and Raup 1999",1999
"164",16503,"Oistotrigonia","Jablonski and Raup 1999",1999
"166",16545,"Agriopleura","Jablonski and Raup 1999",1999
"167",16546,"Bournonia","Jablonski and Raup 1999",1999
"169",16548,"Apricardia","Jablonski and Raup 1999",1999
"171",16550,"Biradiolites","Jablonski and Raup 1999",1999
"183",16568,"Lapeirousia","Jablonski and Raup 1999",1999
"186",16571,"Monopleura","Jablonski and Raup 1999",1999
"189",16574,"Praeradiolites","Jablonski and Raup 1999",1999
"194",16579,"Radiolites","Jablonski and Raup 1999",1999
"202",16587,"Radiolitella","Jablonski and Raup 1999",1999
"212",16638,"Medeela","Jablonski and Raup 1999",1999
"221",16647,"Sauvagesia","Jablonski and Raup 1999",1999
"226",16652,"Plagioptychus","Jablonski and Raup 1999",1999
"227",16653,"Pseudopolyconites","Jablonski and Raup 1999",1999
"233",16785,"Venilicardia","Jablonski and Raup 1999",1999
"235",16793,"Procardia","Jablonski and Raup 1999",1999
"250",16944,"Clavagella","Jablonski and Raup 1999",1999
"260",17045,"Regoria","Jablonski and Raup 1999",1999
"263",17058,"Artigesia","Jablonski and Raup 1999",1999
"296",17121,"Subvenericardia","Jablonski and Raup 1999",1999
"300",17127,"Agelasina","Jablonski and Raup 1999",1999
"305",17175,"Colveraia","Jablonski and Raup 1999",1999
"306",17221,"Neoradiolites","Jablonski and Raup 1999",1999
"312",17300,"Maedagonia","Jablonski and Raup 1999",1999
"317",17405,"Bayleia","Jablonski and Raup 1999",1999
"319",17407,"Dictyoptychus","Jablonski and Raup 1999",1999
"326",17436,"Durania","Jablonski and Raup 1999",1999
"335",17550,"Henrywoodsia","Jablonski and Raup 1999",1999
"337",17554,"Haumurigonia","Jablonski and Raup 1999",1999
"339",17556,"Tamuragonia","Jablonski and Raup 1999",1999
"351",17710,"Stirpulina","Jablonski and Raup 1999",1999
"353",17718,"Sabinia","Jablonski and Raup 1999",1999
"355",17720,"Mitrocaprina","Jablonski and Raup 1999",1999
"356",17721,"Joufia","Jablonski and Raup 1999",1999
"400",17983,"Jaitlygonia","Jablonski and Raup 1999",1999
"401",17984,"Frenguelliella","Jablonski and Raup 1999",1999
"416",18102,"Aphaea","Jablonski and Raup 1999",1999
"418",18117,"Pterotrigonia","Jablonski and Raup 1999",1999
"419",18118,"Popenoella","Jablonski and Raup 1999",1999
"421",18156,"Iotrigonia","Jablonski and Raup 1999",1999
"425",18163,"Patagocardia","Jablonski and Raup 1999",1999
"430",18198,"Paracaprinula","Jablonski and Raup 1999",1999
"432",18200,"Vautrinia","Jablonski and Raup 1999",1999
"433",18201,"Dubertretia","Jablonski and Raup 1999",1999
"441",18281,"Tarturia","Jablonski and Raup 1999",1999
"488",18654,"Coralliochama","Jablonski and Raup 1999",1999
"493",18672,"Trechmannites","Jablonski and Raup 1999",1999
"497",18676,"Thyrastylon","Jablonski and Raup 1999",1999
"499",18678,"Huasteca","Jablonski and Raup 1999",1999
"500",18679,"Tampsia","Jablonski and Raup 1999",1999
"502",18685,"Chiapasella","Jablonski and Raup 1999",1999
"512",18716,"Antillosarcolites","Jablonski and Raup 1999",1999
"519",18725,"Alencasterites","Jablonski and Raup 1999",1999
"541",18750,"Caprinula","Jablonski and Raup 1999",1999
"590",18875,"Incomatiella","Jablonski and Raup 1999",1999
"593",18913,"Skwarkoella","Jablonski and Raup 1999",1999
"625",19091,"Osculigera","Jablonski and Raup 1999",1999
"636",19189,"Birkelundita","Jablonski and Raup 1999",1999
"638",19279,"Myoconcha","Jablonski and Raup 1999",1999
"651",19375,"Pleuromya","Jablonski and Raup 1999",1999
"683",19751,"Tashiroella","Jablonski and Raup 1999",1999
"698",19789,"Kuehnia","Jablonski and Raup 1999",1999
"710",19804,"Kurtinia","Jablonski and Raup 1999",1999
"721",19830,"Pseudosabinia","Jablonski and Raup 1999",1999
"725",19841,"Dechaseauxia","Jablonski and Raup 1999",1999
"728",19844,"Hardaghia","Jablonski and Raup 1999",1999
"737",20070,"Dentalium","Elder 1981",1981
"759",21068,"Planorbis","Hansen 1978",1978
"834",23796,"Astandes","Gill et al. 1966",1966
"853",24462,"Conoteuthis","Casey 1961",1961
"854",24473,"Vectibelus","Casey 1961",1961
"858",24485,"Vectianella","Casey 1961",1961
"859",24494,"Colostracon (Ovactaeonina)","Casey 1961",1961
"860",24544,"Eurotrigonia","Casey 1961",1961
"866",24731,"Eomiodon","Casey 1961",1961
"871",24770,"Neohibolites","Casey 1961",1961
"875",24844,"Proveniella","Casey 1961",1961
"876",24847,"Myopholas","Casey 1961",1961
"878",24874,"Tortarctica","Casey 1961",1961
"879",24886,"Epicyprina","Casey 1961",1961
