,occurrence_no,early_interval,late_interval,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,direct_ma_value,direct_ma_error,direct_ma_method,formation,member,spatial_resolution,collection_dates,ref_author,ref_pubyr,Late_Age,Early_Age,min_Ma,max_Ma,Ref
1,14494,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Moodys Branch,,,,Elder 1981,1981,Priabonian,Bartonian,33.9,41.2,
368,14925,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Cockfield,,,,Elder 1981,1981,Bartonian,Bartonian,37.71,41.2,
397,14961,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,,,,,Jablonski and Raup 1999,1999,,,,,
2378,16945,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Maastricht,Nekum,,,Jablonski and Raup 1999,1999,,,,,
5354,20015,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Yazoo Clay,,,,Elder 1981,1981,,,,,
5895,20679,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Lisbon,Upper,,,Hansen 1978,1978,,,,,
6206,21074,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Cook Mountain,,,,Hansen 1978,1978,,,,,
6292,21168,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Nanjemoy,,,,Hansen 1978,1978,,,,,
6564,23295,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Jalama,VII,,,Dailey and Popenoe 1966,1966,,,,,
6983,23718,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Pierre Shale,Upper Unnamed Shale,,,Gill et al. 1966,1966,,,,,
6988,23723,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Fox Hills,,,,Gill et al. 1966,1966,,,,,
7125,23870,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Lewis Shale,Kara Bentonitic,,,Gill et al. 1966,1966,,,,,
7460,24410,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Atherfield Clay,Perna,,,Casey 1961,1961,,,,,
7549,24513,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Ferruginous Sands,Lower Gryphaea,,,Casey 1961,1961,,,,,
7656,24632,Middle Albian,,110.1,NA,,106.3,NA,,NA,NA,,Monk’s Bay Sandstone,,,,Casey 1961,1961,,,,,
7705,24714,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Sandrock,,,,Casey 1961,1961,,,,,
7736,24745,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Hythe,,,,Casey 1961,1961,,,,,
7784,24803,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Sandgate,,,,Casey 1961,1961,,,,,
7818,24860,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Folkestone,,,,Casey 1961,1961,,,,,
7939,24998,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Budden Canyon,Bald Hills,,,Keupp 2008,2008,,,,,
8523,25775,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Woburn Sand,,,,Casey 1961,1961,,,,,
8531,25796,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Barranquín,Taguarumo,,,von der Osten 1957,1957,,,,,
8613,25904,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Munday’s Hill Phosphatic Sandstone,Shenley Limestone,,,Casey 1961,1961,,,,,
8729,26046,Late Aptian,,119.57,NA,,113.2,NA,,NA,NA,,Alisitos,upper,,,Allison 1955,1955,,,,,
8838,26588,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Kiowa,,,,Scott 1970,1970,,,,,
8878,26649,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Coleraine,,,,Bergquist 1944,1944,,,,,
9394,27347,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Aground Ouadar,,,,Rey et al. 1988,1988,,,,,
9402,27355,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Sidi Lhousseine,,,,Rey et al. 1988,1988,,,,,
9424,27385,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Talmest,,,,Rey et al. 1988,1988,,,,,
9425,27391,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Taboulouart,,,,Rey et al. 1988,1988,,,,,
9430,27401,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Tamzergout,,,,Rey et al. 1988,1988,,,,,
9437,27409,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Tadhart,,,,Rey et al. 1988,1988,,,,,
9442,27421,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Lemgo,,,,Rey et al. 1988,1988,,,,,
9463,27442,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Oued Tidzi,,,,Rey et al. 1988,1988,,,,,
9472,27500,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Himalia Ridge,,,,Butterworth et al. 1988,1988,,,,,
9479,27511,Valanginian,Hauterivian,137.05,NA,,125.77,NA,,NA,NA,,Spartan Glacier,,,,Butterworth et al. 1988,1988,,,,,
9494,27534,Aptian,Albian,121.4,NA,,100.5,NA,,NA,NA,,Pluto Glacier,,,,Butterworth et al. 1988,1988,,,,,
9632,27675,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Rogozno,,,,Marek 1989,1989,,,,,
9648,27692,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Bodzanow,,,,Marek 1989,1989,,,,,
9680,27725,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Wloclawek,,,,Marek 1989,1989,,,,,
9687,27733,Middle Albian,,110.1,NA,,106.3,NA,,NA,NA,,Mogilno,,,,Marek 1989,1989,,,,,
9746,27793,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Mraznica,,,,Michalik and Vasicek 1989,1989,,,,,
9760,27867,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Kaliste,,,,Michalik and Vasicek 1989,1989,,,,,
9790,27897,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Eagle Ford,,,,Stephenson 1955,1955,,,,,
